serial:no,age,gender,year_in_school,major,monthly_income,tuition,financial_aid,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,expense,savings,preferred_payment_method
50,20,Female,Junior,Engineering,5414,1377,723,786,355,137,187,45,90,145,200,4045,1369,Cash
51,21,Non-binary,Freshman,Economics,5481,1451,479,661,140,67,128,31,48,293,37,3335,2146,Credit/Debit Card
52,19,Male,Senior,Computer Science,3823,669,660,837,193,115,75,121,65,150,96,2981,842,Cash
53,18,Male,Freshman,Psychology,4079,1294,818,806,115,97,71,24,31,79,107,3442,637,Mobile Payment App
54,24,Non-binary,Senior,Engineering,3688,941,90,963,372,197,146,32,86,109,45,2981,707,Mobile Payment App
55,22,Female,Sophomore,Engineering,4244,1131,312,926,339,142,237,145,93,121,91,3537,707,Cash
56,24,Non-binary,Freshman,Computer Science,4824,854,700,525,223,145,133,47,91,294,191,3203,1621,Cash
57,20,Male,Sophomore,Economics,3017,1158,653,960,216,193,299,40,61,263,55,3898,-881,Mobile Payment App
58,25,Non-binary,Sophomore,Biology,3650,668,50,466,377,161,221,60,80,180,142,2405,1245,Mobile Payment App
59,20,Female,Junior,Biology,4694,695,970,626,304,104,200,47,71,223,93,3333,1361,Mobile Payment App
60,20,Male,Junior,Engineering,5389,1375,722,416,132,193,149,67,27,261,46,3388,2001,Mobile Payment App
61,23,Female,Junior,Engineering,5205,1084,315,721,230,76,141,86,34,187,159,3033,2172,Mobile Payment App
62,18,Female,Senior,Biology,5248,733,838,977,298,164,241,85,78,281,121,3816,1432,Cash
63,20,Non-binary,Freshman,Economics,5194,1061,989,464,370,58,77,135,34,124,40,3352,1842,Mobile Payment App
64,19,Female,Junior,Computer Science,3403,1352,13,477,144,82,190,109,84,81,56,2588,815,Mobile Payment App
65,19,Male,Freshman,Biology,5841,1092,550,916,150,143,257,90,29,262,192,3681,2160,Mobile Payment App
66,24,Male,Freshman,Economics,3830,963,367,883,260,79,139,135,64,54,81,3025,805,Mobile Payment App
67,21,Female,Junior,Engineering,4261,1204,121,488,283,111,287,115,56,230,85,2980,1281,Credit/Debit Card
68,23,Male,Senior,Engineering,5380,1184,104,940,115,185,171,58,45,111,30,2943,2437,Mobile Payment App
69,22,Male,Junior,Economics,4560,562,728,986,306,105,109,90,99,187,195,3367,1193,Mobile Payment App
70,19,Male,Freshman,Economics,4643,1218,878,451,234,169,240,105,21,238,101,3655,988,Mobile Payment App
71,21,Non-binary,Sophomore,Computer Science,5442,1235,805,745,390,150,228,96,80,104,35,3868,1574,Cash
72,23,Non-binary,Sophomore,Economics,3220,1424,367,684,328,118,91,143,88,98,159,3500,-280,Cash
73,22,Female,Freshman,Biology,4272,1176,804,861,305,97,106,103,43,185,104,3784,488,Mobile Payment App
74,25,Female,Sophomore,Engineering,3986,1334,81,873,180,186,236,23,61,88,87,3149,837,Credit/Debit Card
75,19,Female,Senior,Computer Science,5371,1442,354,733,153,166,105,29,80,86,137,3285,2086,Cash
76,22,Male,Sophomore,Computer Science,5650,983,862,648,159,128,259,124,97,96,150,3506,2144,Cash
77,24,Female,Sophomore,Computer Science,4881,914,24,564,149,55,61,129,79,180,94,2249,2632,Credit/Debit Card
78,22,Non-binary,Senior,Economics,5428,898,155,868,175,129,148,114,74,196,104,2861,2567,Cash
79,23,Non-binary,Junior,Economics,5212,1164,357,631,331,125,199,115,48,130,107,3207,2005,Cash
80,18,Female,Freshman,Biology,4636,1484,594,518,299,74,55,104,87,122,171,3508,1128,Mobile Payment App
81,19,Female,Junior,Biology,5104,1127,850,623,385,94,193,29,57,259,113,3730,1374,Mobile Payment App
82,24,Non-binary,Senior,Biology,5501,1105,671,841,235,164,109,144,100,252,198,3819,1682,Cash
83,19,Male,Freshman,Computer Science,4529,1351,156,678,186,178,75,34,95,97,140,2990,1539,Mobile Payment App
84,22,Female,Freshman,Biology,3050,930,768,490,349,54,174,80,51,278,143,3317,-267,Mobile Payment App
85,25,Non-binary,Senior,Computer Science,5683,1346,932,718,376,152,156,94,81,220,145,4220,1463,Credit/Debit Card
86,25,Non-binary,Sophomore,Computer Science,3901,1240,44,618,315,177,180,41,63,247,112,3037,864,Credit/Debit Card
87,25,Female,Junior,Computer Science,4051,727,143,840,269,119,121,132,40,173,198,2762,1289,Credit/Debit Card
88,20,Female,Junior,Economics,4707,622,959,431,234,184,264,54,84,295,162,3289,1418,Mobile Payment App
89,23,Male,Sophomore,Economics,5304,800,933,421,144,97,51,103,66,247,183,3045,2259,Credit/Debit Card
90,18,Non-binary,Junior,Psychology,5959,1199,516,778,260,82,238,74,82,149,126,3504,2455,Credit/Debit Card
91,19,Male,Senior,Economics,3526,1006,392,411,357,109,268,107,94,65,138,2947,579,Cash
92,23,Non-binary,Sophomore,Economics,4423,1295,903,791,397,144,64,59,79,187,189,4108,315,Mobile Payment App
93,18,Male,Sophomore,Economics,4236,1222,625,862,127,180,63,91,90,191,87,3538,698,Mobile Payment App
94,18,Female,Senior,Computer Science,4822,1384,800,809,237,174,85,21,72,130,185,3897,925,Credit/Debit Card
95,18,Female,Junior,Engineering,3367,1035,513,760,182,57,95,119,21,166,149,3097,270,Credit/Debit Card
96,20,Male,Freshman,Economics,5126,1395,723,551,258,130,81,102,84,234,172,3730,1396,Credit/Debit Card
97,18,Non-binary,Sophomore,Biology,5096,767,457,780,331,200,115,89,27,265,175,3206,1890,Credit/Debit Card
98,24,Female,Senior,Biology,4706,933,452,787,166,136,106,112,63,270,86,3111,1595,Cash
99,23,Male,Junior,Psychology,3471,803,796,931,293,54,146,142,58,84,104,3411,60,Mobile Payment App
100,22,Male,Sophomore,Psychology,3300,1333,231,971,295,51,219,91,94,259,161,3705,-405,Cash
101,23,Female,Senior,Psychology,5317,1115,437,818,341,136,116,115,22,56,38,3194,2123,Mobile Payment App
102,20,Female,Sophomore,Psychology,3366,920,149,636,295,143,77,120,96,137,162,2735,631,Cash
103,25,Male,Junior,Psychology,5931,780,95,759,216,99,251,20,38,192,105,2555,3376,Cash
104,21,Female,Junior,Psychology,5570,882,912,555,305,103,81,112,28,112,162,3252,2318,Mobile Payment App
105,21,Female,Senior,Computer Science,3200,959,258,464,360,153,220,26,88,144,161,2833,367,Cash
106,25,Female,Senior,Psychology,4789,748,494,447,353,164,201,60,43,99,93,2702,2087,Mobile Payment App
107,21,Male,Junior,Biology,4884,810,73,742,112,173,276,136,63,294,161,2840,2044,Mobile Payment App
108,20,Male,Sophomore,Computer Science,4992,965,322,433,175,56,71,89,74,66,59,2310,2682,Mobile Payment App
109,24,Male,Senior,Psychology,4906,784,513,863,116,110,140,116,56,264,179,3141,1765,Credit/Debit Card
110,22,Male,Sophomore,Economics,5894,970,553,680,344,156,114,120,79,53,40,3109,2785,Mobile Payment App
111,23,Non-binary,Senior,Economics,5866,1349,873,661,205,129,88,72,28,192,72,3669,2197,Credit/Debit Card
112,19,Female,Senior,Psychology,5429,760,61,831,268,84,63,26,92,278,185,2648,2781,Credit/Debit Card
113,21,Female,Freshman,Computer Science,4977,702,273,906,385,106,277,148,41,205,149,3192,1785,Cash
114,21,Male,Junior,Engineering,5309,720,675,661,284,95,153,93,21,108,81,2891,2418,Mobile Payment App
115,22,Male,Freshman,Biology,3618,1286,789,902,343,194,182,74,62,171,126,4129,-511,Mobile Payment App
116,22,Female,Sophomore,Engineering,4753,1135,261,629,335,168,97,113,60,223,44,3065,1688,Cash
117,18,Non-binary,Senior,Engineering,3108,1030,240,859,386,147,208,27,60,265,36,3258,-150,Credit/Debit Card
118,21,Female,Senior,Engineering,4579,1265,722,760,122,122,63,34,48,250,153,3539,1040,Credit/Debit Card
119,24,Female,Freshman,Psychology,5634,1175,803,444,290,170,63,25,37,275,111,3393,2241,Mobile Payment App
120,23,Female,Freshman,Psychology,5275,1083,10,640,236,153,257,62,87,188,55,2771,2504,Mobile Payment App
121,24,Non-binary,Freshman,Biology,3167,1487,940,765,202,146,183,145,23,233,120,4244,-1077,Mobile Payment App
122,25,Non-binary,Junior,Computer Science,5067,1327,196,613,278,179,187,149,38,227,162,3356,1711,Cash
123,22,Non-binary,Senior,Economics,4532,1095,165,801,253,167,243,73,33,110,66,3006,1526,Credit/Debit Card
124,23,Male,Senior,Biology,3230,1460,436,787,377,176,158,117,78,299,84,3972,-742,Mobile Payment App
125,20,Female,Freshman,Engineering,3691,1354,427,515,224,120,125,71,46,140,184,3206,485,Credit/Debit Card
126,20,Male,Sophomore,Biology,4311,836,620,584,301,160,193,91,46,143,120,3094,1217,Cash
127,22,Male,Junior,Engineering,4012,1212,529,897,400,53,120,117,88,284,119,3819,193,Credit/Debit Card
128,20,Non-binary,Senior,Engineering,3413,1483,277,554,182,138,275,72,35,160,74,3250,163,Credit/Debit Card
129,22,Non-binary,Sophomore,Computer Science,5420,998,935,516,297,96,103,129,78,251,109,3512,1908,Credit/Debit Card
130,22,Non-binary,Senior,Biology,4389,885,325,907,317,144,126,149,89,243,156,3341,1048,Credit/Debit Card
131,25,Male,Senior,Engineering,3854,726,333,738,177,195,110,92,77,117,30,2595,1259,Credit/Debit Card
132,25,Female,Junior,Psychology,4885,1037,990,481,367,130,272,56,57,150,92,3632,1253,Mobile Payment App
133,22,Female,Freshman,Engineering,3377,1456,993,733,201,94,284,123,34,59,77,4054,-677,Mobile Payment App
134,24,Male,Junior,Economics,4129,676,183,600,135,75,227,25,22,200,164,2307,1822,Mobile Payment App
135,24,Female,Senior,Psychology,5579,571,215,424,133,149,139,29,58,275,173,2166,3413,Mobile Payment App
136,23,Male,Junior,Computer Science,5944,1213,761,768,246,196,165,52,68,198,180,3847,2097,Mobile Payment App
137,24,Female,Sophomore,Psychology,5305,1112,547,498,357,170,183,92,84,138,92,3273,2032,Cash
138,18,Female,Sophomore,Economics,4834,1100,535,593,201,197,78,92,44,178,198,3216,1618,Credit/Debit Card
139,21,Male,Sophomore,Psychology,4279,526,375,747,159,183,197,67,21,88,58,2421,1858,Cash
140,22,Male,Junior,Computer Science,3172,951,202,818,158,68,95,76,63,122,47,2600,572,Mobile Payment App
141,23,Male,Sophomore,Computer Science,5696,1301,163,899,117,51,278,22,22,153,70,3076,2620,Cash
142,25,Male,Junior,Psychology,5960,1103,5,676,375,149,133,76,33,212,165,2927,3033,Mobile Payment App
143,24,Male,Senior,Computer Science,5692,1083,466,644,111,80,235,76,42,108,65,2910,2782,Cash
144,23,Female,Senior,Engineering,3057,860,47,614,235,115,117,71,72,226,94,2451,606,Cash
145,18,Male,Senior,Biology,3341,1354,882,969,348,75,126,49,93,201,116,4213,-872,Cash
146,23,Male,Senior,Biology,4768,877,847,465,221,96,52,39,73,94,141,2905,1863,Credit/Debit Card
147,21,Male,Freshman,Engineering,3046,649,577,931,224,161,200,24,80,213,135,3194,-148,Credit/Debit Card
148,24,Male,Sophomore,Computer Science,4655,897,220,799,358,125,290,80,23,156,177,3125,1530,Credit/Debit Card
149,21,Non-binary,Freshman,Psychology,3709,1147,872,581,102,188,225,98,72,273,126,3684,25,Mobile Payment App
150,23,Non-binary,Senior,Biology,5577,1367,606,916,260,78,213,145,71,223,123,4002,1575,Credit/Debit Card
151,21,Male,Freshman,Computer Science,4943,647,382,807,149,61,214,136,26,191,102,2715,2228,Cash
152,21,Female,Senior,Engineering,3360,656,725,931,329,188,95,120,92,102,59,3297,63,Credit/Debit Card
153,19,Non-binary,Junior,Economics,3194,1131,315,468,328,177,118,26,69,66,161,2859,335,Mobile Payment App
154,19,Female,Freshman,Psychology,4160,1319,803,677,159,73,229,140,38,108,175,3721,439,Cash
155,22,Female,Freshman,Economics,5010,917,856,434,128,184,277,98,29,115,61,3099,1911,Credit/Debit Card
156,19,Female,Sophomore,Biology,5309,872,206,944,232,166,153,58,64,67,167,2929,2380,Credit/Debit Card
157,20,Male,Sophomore,Economics,3388,901,115,737,295,84,297,66,80,146,100,2821,567,Mobile Payment App
158,18,Male,Junior,Engineering,5547,536,535,676,255,82,111,128,35,252,160,2770,2777,Credit/Debit Card
159,25,Female,Senior,Psychology,4087,506,931,998,251,175,80,82,82,76,152,3333,754,Mobile Payment App
160,23,Female,Junior,Economics,3748,1201,635,459,291,56,199,100,81,290,135,3447,301,Credit/Debit Card
161,25,Non-binary,Senior,Computer Science,5568,1189,48,815,159,79,66,113,68,91,94,2722,2846,Cash
162,23,Female,Junior,Economics,3890,546,387,747,282,140,53,35,38,67,75,2370,1520,Credit/Debit Card
163,19,Non-binary,Senior,Biology,3162,1181,989,559,196,137,89,46,60,249,134,3640,-478,Cash
164,18,Female,Sophomore,Economics,3953,810,292,771,340,51,98,120,88,133,58,2761,1192,Cash
165,19,Non-binary,Freshman,Engineering,4028,855,397,633,400,146,174,148,42,77,153,3025,1003,Cash
166,23,Male,Sophomore,Biology,5911,1354,17,631,385,160,112,34,32,225,173,3123,2788,Cash
167,20,Male,Freshman,Psychology,5433,1056,861,405,183,194,187,61,66,144,107,3264,2169,Cash
168,19,Male,Freshman,Economics,4981,620,215,704,243,197,285,135,83,192,36,2710,2271,Credit/Debit Card
169,24,Female,Freshman,Economics,4361,1207,339,638,201,143,241,112,29,86,139,3135,1226,Cash
170,21,Non-binary,Sophomore,Psychology,5893,621,456,960,199,124,278,115,48,193,178,3172,2721,Cash
171,25,Female,Senior,Engineering,4249,1033,64,517,104,64,259,131,66,234,63,2535,1714,Mobile Payment App
172,19,Non-binary,Freshman,Psychology,3701,722,2,450,102,82,267,38,65,129,186,2043,1658,Mobile Payment App
173,20,Male,Freshman,Psychology,3564,1304,76,847,180,92,300,90,64,113,34,3100,464,Mobile Payment App
174,21,Non-binary,Junior,Biology,3424,912,970,991,348,181,86,134,70,175,40,3907,-483,Credit/Debit Card
175,23,Male,Sophomore,Biology,4951,963,871,778,253,105,135,124,46,185,164,3624,1327,Cash
176,18,Female,Junior,Engineering,3015,1286,618,925,103,129,56,50,93,215,43,3518,-503,Mobile Payment App
177,18,Male,Freshman,Economics,4653,1104,180,683,362,185,90,79,91,91,99,2964,1689,Credit/Debit Card
178,23,Non-binary,Senior,Economics,3756,697,927,734,394,192,109,80,73,247,69,3522,234,Cash
179,21,Male,Freshman,Engineering,4254,1230,968,540,285,99,169,101,57,77,87,3613,641,Cash
180,25,Female,Junior,Engineering,3889,1345,649,919,311,133,68,149,66,69,159,3868,21,Mobile Payment App
181,20,Female,Junior,Biology,3074,1411,517,874,151,77,219,21,44,280,57,3651,-577,Mobile Payment App
182,24,Female,Freshman,Economics,5998,1355,282,617,311,79,264,35,73,254,131,3401,2597,Credit/Debit Card
183,24,Non-binary,Junior,Economics,4056,608,918,568,336,186,159,82,89,251,166,3363,693,Mobile Payment App
184,22,Female,Senior,Biology,3542,566,480,834,360,64,289,48,86,226,132,3085,457,Credit/Debit Card
185,25,Female,Junior,Economics,4548,1310,982,837,219,60,72,82,51,260,30,3903,645,Mobile Payment App
186,24,Female,Sophomore,Biology,3169,1354,52,849,335,60,199,77,45,101,195,3267,-98,Credit/Debit Card
187,23,Male,Sophomore,Economics,4645,1020,17,943,305,156,240,123,53,290,77,3224,1421,Cash
188,24,Non-binary,Senior,Engineering,4450,1394,871,416,268,133,146,22,68,172,126,3616,834,Cash
189,22,Non-binary,Sophomore,Psychology,5756,954,337,717,159,195,196,138,26,154,160,3036,2720,Credit/Debit Card
190,21,Male,Senior,Biology,3959,1448,794,624,171,172,103,59,89,206,182,3848,111,Mobile Payment App
191,21,Non-binary,Sophomore,Biology,4078,968,8,670,108,56,129,26,66,272,64,2367,1711,Credit/Debit Card
192,19,Male,Freshman,Economics,4103,1450,809,845,255,89,136,110,85,183,85,4047,56,Credit/Debit Card
193,22,Female,Freshman,Computer Science,4316,1316,938,953,153,179,229,105,66,184,151,4274,42,Credit/Debit Card
194,24,Male,Freshman,Computer Science,4075,904,955,875,310,197,201,91,83,224,186,4026,49,Cash
195,23,Female,Junior,Computer Science,5418,1488,77,545,112,193,158,21,64,257,168,3083,2335,Cash
196,20,Female,Junior,Psychology,5877,893,258,469,131,192,222,73,84,125,176,2623,3254,Cash
197,21,Male,Freshman,Biology,4464,527,851,683,390,194,185,127,65,188,168,3378,1086,Credit/Debit Card
198,24,Male,Senior,Biology,3043,804,640,927,347,167,151,114,35,206,94,3485,-442,Credit/Debit Card
199,25,Female,Junior,Engineering,5070,547,233,633,164,94,147,123,25,236,116,2318,2752,Credit/Debit Card
200,19,Non-binary,Freshman,Computer Science,4683,523,892,438,180,65,208,108,59,192,92,2757,1926,Cash
201,24,Female,Senior,Economics,5293,1040,970,701,323,97,196,93,62,170,90,3742,1551,Credit/Debit Card
202,24,Male,Freshman,Computer Science,3012,918,273,759,113,181,62,99,81,226,155,2867,145,Credit/Debit Card
203,23,Female,Junior,Biology,4132,504,775,997,237,69,199,111,58,62,195,3207,925,Credit/Debit Card
204,24,Female,Senior,Economics,3234,1203,115,858,249,157,292,132,94,278,66,3444,-210,Cash
205,20,Female,Senior,Psychology,4004,951,279,453,366,121,287,71,65,207,129,2929,1075,Mobile Payment App
206,24,Non-binary,Sophomore,Psychology,3939,857,583,587,147,126,160,117,85,98,69,2829,1110,Mobile Payment App
207,19,Male,Senior,Psychology,3191,812,539,744,108,189,296,31,81,204,87,3091,100,Cash
208,18,Male,Sophomore,Computer Science,5188,540,649,746,173,147,113,139,29,103,73,2712,2476,Credit/Debit Card
209,19,Non-binary,Junior,Psychology,3007,889,483,673,225,113,113,148,40,256,171,3111,-104,Cash
210,18,Non-binary,Freshman,Psychology,5718,992,680,533,241,84,276,65,81,141,171,3264,2454,Credit/Debit Card
211,21,Male,Junior,Biology,3712,760,869,567,291,94,86,141,97,55,165,3125,587,Mobile Payment App
212,25,Male,Sophomore,Biology,4865,1199,996,533,207,123,70,104,76,256,189,3753,1112,Credit/Debit Card
213,20,Female,Junior,Biology,4893,578,460,488,139,168,58,105,92,177,183,2448,2445,Credit/Debit Card
214,24,Female,Senior,Economics,4885,994,940,487,143,54,79,74,53,77,66,2967,1918,Cash
215,18,Non-binary,Junior,Economics,5312,552,481,937,307,77,71,21,52,127,46,2671,2641,Mobile Payment App
216,21,Male,Junior,Computer Science,5866,1444,792,607,396,189,125,76,80,59,79,3847,2019,Credit/Debit Card
217,19,Female,Junior,Psychology,3282,1203,550,654,182,108,288,147,38,92,182,3444,-162,Mobile Payment App
218,25,Female,Sophomore,Computer Science,4898,1481,50,982,157,162,159,30,76,225,99,3421,1477,Credit/Debit Card
219,25,Non-binary,Sophomore,Economics,5318,700,174,846,206,108,284,70,23,220,169,2800,2518,Credit/Debit Card
220,25,Female,Junior,Economics,5282,1087,415,503,155,186,116,31,31,108,141,2773,2509,Mobile Payment App
221,23,Male,Senior,Economics,4520,672,699,435,153,180,61,75,56,248,195,2774,1746,Mobile Payment App
222,21,Male,Sophomore,Computer Science,4307,825,882,589,181,54,89,113,55,266,34,3088,1219,Credit/Debit Card
223,24,Male,Sophomore,Computer Science,5997,1033,267,806,374,86,229,78,31,139,153,3196,2801,Cash
224,25,Non-binary,Freshman,Engineering,5306,774,250,942,324,73,271,107,77,92,80,2990,2316,Credit/Debit Card
225,23,Male,Junior,Engineering,3066,1365,744,936,265,52,121,46,85,292,128,4034,-968,Credit/Debit Card
226,25,Non-binary,Sophomore,Economics,3709,810,826,938,206,180,112,82,45,165,110,3474,235,Mobile Payment App
227,22,Male,Sophomore,Economics,5420,856,33,967,391,112,196,43,71,294,91,3054,2366,Mobile Payment App
228,21,Female,Senior,Psychology,4345,985,586,481,110,141,135,103,42,270,194,3047,1298,Credit/Debit Card
229,22,Non-binary,Junior,Biology,4599,919,369,788,119,170,58,124,34,97,64,2742,1857,Credit/Debit Card
230,18,Female,Sophomore,Biology,5152,637,130,559,340,62,226,42,72,244,197,2509,2643,Cash
231,20,Male,Freshman,Economics,3535,894,327,689,213,127,69,116,50,143,81,2709,826,Credit/Debit Card
232,22,Female,Senior,Economics,3452,874,561,504,299,111,237,113,71,104,45,2919,533,Cash
233,22,Female,Junior,Computer Science,3180,850,699,777,196,102,212,98,75,192,48,3249,-69,Credit/Debit Card
234,24,Non-binary,Junior,Engineering,5743,879,865,921,249,189,222,111,71,112,60,3679,2064,Credit/Debit Card
235,24,Female,Junior,Economics,3527,811,346,795,308,106,74,126,23,299,111,2999,528,Credit/Debit Card
236,21,Male,Sophomore,Computer Science,4079,809,768,505,186,176,217,70,81,194,193,3199,880,Cash
237,18,Non-binary,Senior,Psychology,5494,596,316,567,308,54,126,149,46,278,134,2574,2920,Credit/Debit Card
238,25,Male,Sophomore,Economics,3647,856,102,500,341,123,198,85,73,208,58,2544,1103,Mobile Payment App
239,25,Male,Senior,Computer Science,3489,886,143,676,219,61,198,99,95,178,46,2601,888,Mobile Payment App
240,24,Female,Sophomore,Psychology,5781,1205,715,428,346,190,79,37,28,57,182,3267,2514,Mobile Payment App
241,21,Non-binary,Freshman,Biology,4343,1353,444,622,341,198,152,106,44,236,60,3556,787,Cash
242,22,Male,Junior,Computer Science,4960,1268,886,917,100,53,102,98,66,228,124,3842,1118,Cash
243,23,Non-binary,Sophomore,Psychology,3873,1112,5,737,188,101,266,46,76,73,190,2794,1079,Cash
244,20,Female,Junior,Engineering,5211,1206,639,720,363,66,120,134,85,152,52,3537,1674,Cash
245,24,Male,Junior,Biology,3153,1159,465,891,226,55,95,46,58,284,41,3320,-167,Mobile Payment App
246,19,Non-binary,Sophomore,Biology,4859,1250,113,521,305,92,133,77,92,69,108,2760,2099,Mobile Payment App
247,20,Non-binary,Freshman,Computer Science,5509,1120,327,670,120,130,178,52,71,267,38,2973,2536,Mobile Payment App
248,24,Non-binary,Senior,Computer Science,4706,1277,520,538,374,183,243,80,74,246,152,3687,1019,Cash
249,19,Male,Freshman,Psychology,5284,1442,463,537,307,157,113,60,39,261,178,3557,1727,Mobile Payment App
250,24,Non-binary,Junior,Biology,4353,776,16,460,358,95,219,27,61,178,173,2363,1990,Cash
251,21,Female,Sophomore,Biology,3641,800,311,438,331,60,125,22,41,253,45,2426,1215,Mobile Payment App
252,18,Female,Junior,Computer Science,5416,1078,910,507,232,175,64,129,55,136,156,3442,1974,Credit/Debit Card
253,20,Male,Junior,Computer Science,3920,1404,747,760,237,104,122,28,82,115,75,3674,246,Mobile Payment App
